,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_with_authors,taxon_name_with_paranthet_authors,taxon_name_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author,publication_year
726175,328378-1,Erica capitata,Erica capitata L.,Ericaceae,Species,2792865,328378-1,Species,Accepted,Ericaceae,,Erica,,capitata,,,,L.,,Sp. Pl.,: 355,(1753),Erica capitata,L.,2792865,,,,2792525,328378-1,,N,Erica capitata,Erica capitata L.,328378-1,2792865,Erica capitata L.,Erica capitata L.,Erica capitata L.,E.,E. capitata,E. capitata L.,E. capitata L.,E. capitata L.,1753
725731,328400-1,Erica cerinthoides,Erica cerinthoides L.,Ericaceae,Species,2792890,328400-1,Species,Accepted,Ericaceae,,Erica,,cerinthoides,,,,L.,,"Sp. Pl., ed. 2.",: 505,(1762),Erica cerinthoides,L.,2792890,,,,2792525,328400-1,,N,Erica cerinthoides,Erica cerinthoides L.,328400-1,2792890,Erica cerinthoides L.,Erica cerinthoides L.,Erica cerinthoides L.,E.,E. cerinthoides,E. cerinthoides L.,E. cerinthoides L.,E. cerinthoides L.,1762
721361,328404-1,Erica cernua,Erica cernua Montin,Ericaceae,Species,2792893,328404-1,Species,Accepted,Ericaceae,,Erica,,cernua,,,,Montin,,Nova Acta Regiae Soc. Sci. Upsal.,", ser. 2, 2: 294",(1775),Erica cernua,Montin,2792893,,,,2792525,328404-1,,N,Erica cernua,Erica cernua Montin,328404-1,2792893,Erica cernua Montin,Erica cernua Montin,Erica cernua Montin,E.,E. cernua,E. cernua Montin,E. cernua Montin,E. cernua Montin,1775
725453,328419-1,Erica ciliaris,Erica ciliaris L.,Ericaceae,Species,2792913,328419-1,Species,Accepted,Ericaceae,,Erica,,ciliaris,,,,L.,,Sp. Pl.,: 354,(1753),Erica ciliaris,L.,2792913,,,,2792525,328419-1,,N,Erica ciliaris,Erica ciliaris L.,328419-1,2792913,Erica ciliaris L.,Erica ciliaris L.,Erica ciliaris L.,E.,E. ciliaris,E. ciliaris L.,E. ciliaris L.,E. ciliaris L.,1753
722287,328435-1,Erica coccinea,Erica coccinea L.,Ericaceae,Species,2792934,328435-1,Species,Accepted,Ericaceae,,Erica,,coccinea,,,,L.,,Sp. Pl.,: 355,(1753),Erica coccinea,L.,2792934,,,,2792525,328435-1,,N,Erica coccinea,Erica coccinea L.,328435-1,2792934,Erica coccinea L.,Erica coccinea L.,Erica coccinea L.,E.,E. coccinea,E. coccinea L.,E. coccinea L.,E. coccinea L.,1753
721364,328476-1,Erica corifolia,Erica corifolia L.,Ericaceae,Species,2792988,328476-1,Species,Accepted,Ericaceae,,Erica,,corifolia,,,,L.,,Sp. Pl.,: 355,(1753),Erica corifolia,L.,2792988,,,,2792525,328476-1,,N,Erica corifolia,Erica corifolia L.,328476-1,2792988,Erica corifolia L.,Erica corifolia L.,Erica corifolia L.,E.,E. corifolia,E. corifolia L.,E. corifolia L.,E. corifolia L.,1753
728486,328493-1,Erica crassifolia,Erica crassifolia Andrews,Ericaceae,Species,2793011,328493-1,Species,Accepted,Ericaceae,,Erica,,crassifolia,,,,Andrews,,Col. Engr. Heaths, 4: t. 227,(1810),Erica crassifolia,Andrews,2793011,,,,2792525,328493-1,,N,Erica crassifolia,Erica crassifolia Andrews,328493-1,2793011,Erica crassifolia Andrews,Erica crassifolia Andrews,Erica crassifolia Andrews,E.,E. crassifolia,E. crassifolia Andrews,E. crassifolia Andrews,E. crassifolia Andrews,1810
720702,328534-1,Erica cylindrica,Erica cylindrica Thunb.,Ericaceae,Species,2793070,328534-1,Species,Accepted,Ericaceae,,Erica,,cylindrica,,,,Thunb.,,Erica,: 24,(1785),Erica cylindrica,Thunb.,2793070,,,,2792525,328534-1,,N,Erica cylindrica,Erica cylindrica Thunb.,328534-1,2793070,Erica cylindrica Thunb.,Erica cylindrica Thunb.,Erica cylindrica Thunb.,E.,E. cylindrica,E. cylindrica Thunb.,E. cylindrica Thunb.,E. cylindrica Thunb.,1785
726505,328569-1,Erica depressa,Erica depressa L.,Ericaceae,Species,2793117,328569-1,Species,Accepted,Ericaceae,,Erica,,depressa,,,,L.,,Mant. Pl., 2: 230,(1771),Erica depressa,L.,2793117,,,,2792525,328569-1,,N,Erica depressa,Erica depressa L.,328569-1,2793117,Erica depressa L.,Erica depressa L.,Erica depressa L.,E.,E. depressa,E. depressa L.,E. depressa L.,E. depressa L.,1771
723114,328611-1,Erica eburnea,Erica eburnea T.M.Salter,Ericaceae,Species,2793171,328611-1,Species,Accepted,Ericaceae,,Erica,,eburnea,,,,T.M.Salter,,J. S. African Bot., 1: 36,(1935),Erica eburnea,T.M.Salter,2793171,,,,2792525,328611-1,,N,Erica eburnea,Erica eburnea T.M.Salter,328611-1,2793171,Erica eburnea T.M.Salter,Erica eburnea T.M.Salter,Erica eburnea T.M.Salter,E.,E. eburnea,E. eburnea T.M.Salter,E. eburnea T.M.Salter,E. eburnea T.M.Salter,1935
727314,328641-1,Erica eriocephala,Erica eriocephala Lam.,Ericaceae,Species,2793212,328641-1,Species,Accepted,Ericaceae,,Erica,,eriocephala,,,,Lam.,,Encycl., 1: 489,(1785),Erica eriocephala,Lam.,2793212,,,,2792525,328641-1,,N,Erica eriocephala,Erica eriocephala Lam.,328641-1,2793212,Erica eriocephala Lam.,Erica eriocephala Lam.,Erica eriocephala Lam.,E.,E. eriocephala,E. eriocephala Lam.,E. eriocephala Lam.,E. eriocephala Lam.,1785
721633,328679-1,Erica fastigiata,Erica fastigiata L.,Ericaceae,Species,2793257,328679-1,Species,Accepted,Ericaceae,,Erica,,fastigiata,,,,L.,,Mant. Pl., 1: 66,(1767),Erica fastigiata,L.,2793257,,,,2792525,328679-1,,N,Erica fastigiata,Erica fastigiata L.,328679-1,2793257,Erica fastigiata L.,Erica fastigiata L.,Erica fastigiata L.,E.,E. fastigiata,E. fastigiata L.,E. fastigiata L.,E. fastigiata L.,1767
722013,328692-1,Erica filiformis,Erica filiformis Salisb.,Ericaceae,Species,2793278,328692-1,Species,Accepted,Ericaceae,,Erica,,filiformis,,,,Salisb.,,Trans. Linn. Soc. London, 6: 345,(1802),Erica filiformis,Salisb.,2793278,,,,2792525,328692-1,,N,Erica filiformis,Erica filiformis Salisb.,328692-1,2793278,Erica filiformis Salisb.,Erica filiformis Salisb.,Erica filiformis Salisb.,E.,E. filiformis,E. filiformis Salisb.,E. filiformis Salisb.,E. filiformis Salisb.,1802
725914,328725-1,Erica foliacea,Erica foliacea Andrews,Ericaceae,Species,2793319,328725-1,Species,Accepted,Ericaceae,,Erica,,foliacea,,,,Andrews,,Col. Engr. Heaths, 4: 235,(1822),Erica foliacea,Andrews,2793319,,,,2792525,328725-1,,N,Erica foliacea,Erica foliacea Andrews,328725-1,2793319,Erica foliacea Andrews,Erica foliacea Andrews,Erica foliacea Andrews,E.,E. foliacea,E. foliacea Andrews,E. foliacea Andrews,E. foliacea Andrews,1822
725123,328732-1,Erica formosa,Erica formosa Thunb.,Ericaceae,Species,2793327,328732-1,Species,Accepted,Ericaceae,,Erica,,formosa,,,,Thunb.,,Erica,: 49,(1785),Erica formosa,Thunb.,2793327,,,,2792525,328732-1,,N,Erica formosa,Erica formosa Thunb.,328732-1,2793327,Erica formosa Thunb.,Erica formosa Thunb.,Erica formosa Thunb.,E.,E. formosa,E. formosa Thunb.,E. formosa Thunb.,E. formosa Thunb.,1785
721561,328753-1,Erica galioides,Erica galioides Lam.,Ericaceae,Species,2793350,328753-1,Species,Accepted,Ericaceae,,Erica,,galioides,,,,Lam.,,Tabl. Encycl., 2: 428,(1793),Erica galioides,Lam.,2793350,,,,2792525,328753-1,,N,Erica galioides,Erica galioides Lam.,328753-1,2793350,Erica galioides Lam.,Erica galioides Lam.,Erica galioides Lam.,E.,E. galioides,E. galioides Lam.,E. galioides Lam.,E. galioides Lam.,1793
726716,328768-1,Erica glabra,Erica glabra Thunb.,Ericaceae,Species,2793368,328768-1,Species,Accepted,Ericaceae,,Erica,,glabra,,,,Thunb.,,Prodr. Pl. Cap.,: 69,(1794),Erica glabra,Thunb.,2793368,,,,2792525,328768-1,,N,Erica glabra,Erica glabra Thunb.,328768-1,2793368,Erica glabra Thunb.,Erica glabra Thunb.,Erica glabra Thunb.,E.,E. glabra,E. glabra Thunb.,E. glabra Thunb.,E. glabra Thunb.,1794
724822,328773-1,Erica glandulosa,Erica glandulosa Thunb.,Ericaceae,Species,2793374,328773-1,Species,Accepted,Ericaceae,,Erica,,glandulosa,,,,Thunb.,,Erica,: 25,(1785),Erica glandulosa,Thunb.,2793374,,,,2792525,328773-1,,N,Erica glandulosa,Erica glandulosa Thunb.,328773-1,2793374,Erica glandulosa Thunb.,Erica glandulosa Thunb.,Erica glandulosa Thunb.,E.,E. glandulosa,E. glandulosa Thunb.,E. glandulosa Thunb.,E. glandulosa Thunb.,1785
728497,328792-1,Erica glutinosa,Erica glutinosa P.J.Bergius,Ericaceae,Species,2793399,328792-1,Species,Accepted,Ericaceae,,Erica,,glutinosa,,,,P.J.Bergius,,Descr. Pl. Cap.,: 98,(1767),Erica glutinosa,P.J.Bergius,2793399,,,,2792525,328792-1,,N,Erica glutinosa,Erica glutinosa P.J.Bergius,328792-1,2793399,Erica glutinosa P.J.Bergius,Erica glutinosa P.J.Bergius,Erica glutinosa P.J.Bergius,E.,E. glutinosa,E. glutinosa P.J.Bergius,E. glutinosa P.J.Bergius,E. glutinosa P.J.Bergius,1767
727499,328796-1,Erica gnaphaloides,Erica gnaphaloides L.,Ericaceae,Species,2793406,328796-1,Species,Accepted,Ericaceae,,Erica,,gnaphaloides,,,,L.,,Sp. Pl.,: 356,(1753),Erica gnaphaloides,L.,2793406,,,,2792525,328796-1,,N,Erica gnaphaloides,Erica gnaphaloides L.,328796-1,2793406,Erica gnaphaloides L.,Erica gnaphaloides L.,Erica gnaphaloides L.,E.,E. gnaphaloides,E. gnaphaloides L.,E. gnaphaloides L.,E. gnaphaloides L.,1753
725918,328850-1,Erica hirta,Erica hirta Thunb.,Ericaceae,Species,2793478,328850-1,Species,Accepted,Ericaceae,,Erica,,hirta,,,,Thunb.,,Erica,: 36,(1785),Erica hirta,Thunb.,2793478,,,,2792525,328850-1,,N,Erica hirta,Erica hirta Thunb.,328850-1,2793478,Erica hirta Thunb.,Erica hirta Thunb.,Erica hirta Thunb.,E.,E. hirta,E. hirta Thunb.,E. hirta Thunb.,E. hirta Thunb.,1785
721182,328886-1,Erica incarnata,Erica incarnata Thunb.,Ericaceae,Species,2793527,328886-1,Species,Accepted,Ericaceae,,Erica,,incarnata,,,,Thunb.,,Erica,: 50,(1785),Erica incarnata,Thunb.,2793527,,,,2792525,328886-1,,N,Erica incarnata,Erica incarnata Thunb.,328886-1,2793527,Erica incarnata Thunb.,Erica incarnata Thunb.,Erica incarnata Thunb.,E.,E. incarnata,E. incarnata Thunb.,E. incarnata Thunb.,E. incarnata Thunb.,1785
724562,328901-1,Erica inflata,Erica inflata Thunb.,Ericaceae,Species,2793543,328901-1,Species,Accepted,Ericaceae,,Erica,,inflata,,,,Thunb.,,Erica,: 41,(1785),Erica inflata,Thunb.,2793543,,,,2792525,328901-1,,N,Erica inflata,Erica inflata Thunb.,328901-1,2793543,Erica inflata Thunb.,Erica inflata Thunb.,Erica inflata Thunb.,E.,E. inflata,E. inflata Thunb.,E. inflata Thunb.,E. inflata Thunb.,1785
725551,328904-1,Erica infundibuliformis,Erica infundibuliformis Andrews,Ericaceae,Species,2793547,328904-1,Species,Accepted,Ericaceae,,Erica,,infundibuliformis,,,,Andrews,,Col. Engr. Heaths, 4: 240,(1810),Erica infundibuliformis,Andrews,2793547,,,,2792525,328904-1,,N,Erica infundibuliformis,Erica infundibuliformis Andrews,328904-1,2793547,Erica infundibuliformis Andrews,Erica infundibuliformis Andrews,Erica infundibuliformis Andrews,E.,E. infundibuliformis,E. infundibuliformis Andrews,E. infundibuliformis Andrews,E. infundibuliformis Andrews,1810
724715,328927-1,Erica jasminiflora,Erica jasminiflora Salisb.,Ericaceae,Species,2793580,328927-1,Species,Accepted,Ericaceae,,Erica,,jasminiflora,,,,Salisb.,,Prodr. Stirp. Chap. Allerton,: 293,(1796),Erica jasminiflora,Salisb.,2793580,,,,2792525,328927-1,,N,Erica jasminiflora,Erica jasminiflora Salisb.,328927-1,2793580,Erica jasminiflora Salisb.,Erica jasminiflora Salisb.,Erica jasminiflora Salisb.,E.,E. jasminiflora,E. jasminiflora Salisb.,E. jasminiflora Salisb.,E. jasminiflora Salisb.,1796
726433,329006-1,Erica leucantha,Erica leucantha Link,Ericaceae,Species,2793685,329006-1,Species,Accepted,Ericaceae,,Erica,,leucantha,,,,Link,,Enum. Hort. Berol. Alt., 1: 371,(1821),Erica leucantha,Link,2793685,,,,2792525,329006-1,,N,Erica leucantha,Erica leucantha Link,329006-1,2793685,Erica leucantha Link,Erica leucantha Link,Erica leucantha Link,E.,E. leucantha,E. leucantha Link,E. leucantha Link,E. leucantha Link,1821
724824,329009-1,Erica leucanthera,Erica leucanthera L.f.,Ericaceae,Species,2793687,329009-1,Species,Accepted,Ericaceae,,Erica,,leucanthera,,,,L.f.,,Suppl. Pl.,: 223,(1782),Erica leucanthera,L.f.,2793687,,,,2792525,329009-1,,N,Erica leucanthera,Erica leucanthera L.f.,329009-1,2793687,Erica leucanthera L.f.,Erica leucanthera L.f.,Erica leucanthera L.f.,E.,E. leucanthera,E. leucanthera L.f.,E. leucanthera L.f.,E. leucanthera L.f.,1782
720063,329075-1,Erica mammosa,Erica mammosa L.,Ericaceae,Species,2793782,329075-1,Species,Accepted,Ericaceae,,Erica,,mammosa,,,,L.,,Mant. Pl., 2: 234,(1771),Erica mammosa,L.,2793782,,,,2792525,329075-1,,N,Erica mammosa,Erica mammosa L.,329075-1,2793782,Erica mammosa L.,Erica mammosa L.,Erica mammosa L.,E.,E. mammosa,E. mammosa L.,E. mammosa L.,E. mammosa L.,1771
724081,329099-1,Erica melanthera,Erica melanthera L.,Ericaceae,Species,2793818,329099-1,Species,Accepted,Ericaceae,,Erica,,melanthera,,,,L.,,Mant. Pl., 2: 232,(1771),Erica melanthera,L.,2793818,,,,2792525,329099-1,,N,Erica melanthera,Erica melanthera L.,329099-1,2793818,Erica melanthera L.,Erica melanthera L.,Erica melanthera L.,E.,E. melanthera,E. melanthera L.,E. melanthera L.,E. melanthera L.,1771
724532,329127-1,Erica modesta,Erica modesta Salisb.,Ericaceae,Species,2793849,329127-1,Species,Accepted,Ericaceae,,Erica,,modesta,,,,Salisb.,,Trans. Linn. Soc. London, 6: 352,(1802),Erica modesta,Salisb.,2793849,,,,2792525,329127-1,,N,Erica modesta,Erica modesta Salisb.,329127-1,2793849,Erica modesta Salisb.,Erica modesta Salisb.,Erica modesta Salisb.,E.,E. modesta,E. modesta Salisb.,E. modesta Salisb.,E. modesta Salisb.,1802
722112,329147-1,Erica multiflora,Erica multiflora L.,Ericaceae,Species,2793873,329147-1,Species,Accepted,Ericaceae,,Erica,,multiflora,,,,L.,,Sp. Pl.,: 355,(1753),Erica multiflora,L.,2793873,,,,2792525,329147-1,,N,Erica multiflora,Erica multiflora L.,329147-1,2793873,Erica multiflora L.,Erica multiflora L.,Erica multiflora L.,E.,E. multiflora,E. multiflora L.,E. multiflora L.,E. multiflora L.,1753
721363,329154-1,Erica multumbellifera,Erica multumbellifera P.J.Bergius,Ericaceae,Species,2793880,329154-1,Species,Accepted,Ericaceae,,Erica,,multumbellifera,,,,P.J.Bergius,,Descr. Pl. Cap.,: 110,(1767),Erica multumbellifera,P.J.Bergius,2793880,,,,2792525,329154-1,,N,Erica multumbellifera,Erica multumbellifera P.J.Bergius,329154-1,2793880,Erica multumbellifera P.J.Bergius,Erica multumbellifera P.J.Bergius,Erica multumbellifera P.J.Bergius,E.,E. multumbellifera,E. multumbellifera P.J.Bergius,E. multumbellifera P.J.Bergius,E. multumbellifera P.J.Bergius,1767
719628,329174-1,Erica nana,Erica nana Salisb.,Ericaceae,Species,2793901,329174-1,Species,Accepted,Ericaceae,,Erica,,nana,,,,Salisb.,,Trans. Linn. Soc. London, 6: 355,(1802),Erica nana,Salisb.,2793901,,,,2792525,329174-1,,N,Erica nana,Erica nana Salisb.,329174-1,2793901,Erica nana Salisb.,Erica nana Salisb.,Erica nana Salisb.,E.,E. nana,E. nana Salisb.,E. nana Salisb.,E. nana Salisb.,1802
721024,329207-1,Erica nudiflora,Erica nudiflora L.,Ericaceae,Species,2793938,329207-1,Species,Accepted,Ericaceae,,Erica,,nudiflora,,,,L.,,Mant. Pl., 2: 229,(1771),Erica nudiflora,L.,2793938,,,,2792525,329207-1,,N,Erica nudiflora,Erica nudiflora L.,329207-1,2793938,Erica nudiflora L.,Erica nudiflora L.,Erica nudiflora L.,E.,E. nudiflora,E. nudiflora L.,E. nudiflora L.,E. nudiflora L.,1771
722501,329210-1,Erica nutans,Erica nutans J.C.Wendl.,Ericaceae,Species,2793940,329210-1,Species,Accepted,Ericaceae,,Erica,,nutans,,,,J.C.Wendl.,,Eric. Icon. Descr., 1(3): 5,(1799),Erica nutans,J.C.Wendl.,2793940,,,,2792525,329210-1,,N,Erica nutans,Erica nutans J.C.Wendl.,329210-1,2793940,Erica nutans J.C.Wendl.,Erica nutans J.C.Wendl.,Erica nutans J.C.Wendl.,E.,E. nutans,E. nutans J.C.Wendl.,E. nutans J.C.Wendl.,E. nutans J.C.Wendl.,1799
724005,329234-1,Erica odorata,Erica odorata Andrews,Ericaceae,Species,2793967,329234-1,Species,Accepted,Ericaceae,,Erica,,odorata,,,,Andrews,,Col. Engr. Heaths, 3: 191,(1809),Erica odorata,Andrews,2793967,,,,2792525,329234-1,,N,Erica odorata,Erica odorata Andrews,329234-1,2793967,Erica odorata Andrews,Erica odorata Andrews,Erica odorata Andrews,E.,E. odorata,E. odorata Andrews,E. odorata Andrews,E. odorata Andrews,1809
722834,329282-1,Erica paniculata,Erica paniculata L.,Ericaceae,Species,2794021,329282-1,Species,Accepted,Ericaceae,,Erica,,paniculata,,,,L.,,"Sp. Pl., ed. 2.",: 508,(1762),Erica paniculata,L.,2794021,,,,2792525,329282-1,,N,Erica paniculata,Erica paniculata L.,329282-1,2794021,Erica paniculata L.,Erica paniculata L.,Erica paniculata L.,E.,E. paniculata,E. paniculata L.,E. paniculata L.,E. paniculata L.,1762
719703,329313-1,Erica pellucida,Erica pellucida Sol. ex Salisb.,Ericaceae,Species,2794065,329313-1,Species,Accepted,Ericaceae,,Erica,,pellucida,,,,Sol. ex Salisb.,,Trans. Linn. Soc. London, 6: 384,(1802),Erica pellucida,Sol. ex Salisb.,2794065,,,,2792525,329313-1,,N,Erica pellucida,Erica pellucida Sol. ex Salisb.,329313-1,2794065,Erica pellucida Sol. ex Salisb.,Erica pellucida Sol. ex Salisb.,Erica pellucida Sol. ex Salisb.,E.,E. pellucida,E. pellucida Sol. ex Salisb.,E. pellucida Sol. ex Salisb.,E. pellucida Sol. ex Salisb.,1802
726264,329333-1,Erica perspicua,Erica perspicua J.C.Wendl.,Ericaceae,Species,2794088,329333-1,Species,Accepted,Ericaceae,,Erica,,perspicua,,,,J.C.Wendl.,,Bot. Beob.,: 45,(1798),Erica perspicua,J.C.Wendl.,2794088,,,,2792525,329333-1,,N,Erica perspicua,Erica perspicua J.C.Wendl.,329333-1,2794088,Erica perspicua J.C.Wendl.,Erica perspicua J.C.Wendl.,Erica perspicua J.C.Wendl.,E.,E. perspicua,E. perspicua J.C.Wendl.,E. perspicua J.C.Wendl.,E. perspicua J.C.Wendl.,1798
722569,329336-1,Erica petiolaris,Erica petiolaris Lam.,Ericaceae,Species,2794094,329336-1,Species,Accepted,Ericaceae,,Erica,,petiolaris,,,,Lam.,,Encycl., 1: 487,(1785),Erica petiolaris,Lam.,2794094,,,,2792525,329336-1,,N,Erica petiolaris,Erica petiolaris Lam.,329336-1,2794094,Erica petiolaris Lam.,Erica petiolaris Lam.,Erica petiolaris Lam.,E.,E. petiolaris,E. petiolaris Lam.,E. petiolaris Lam.,E. petiolaris Lam.,1785
724011,329362-1,Erica pilulifera,Erica pilulifera L.,Ericaceae,Species,2794126,329362-1,Species,Accepted,Ericaceae,,Erica,,pilulifera,,,,L.,,Sp. Pl.,: 355,(1753),Erica pilulifera,L.,2794126,,,,2792525,329362-1,,N,Erica pilulifera,Erica pilulifera L.,329362-1,2794126,Erica pilulifera L.,Erica pilulifera L.,Erica pilulifera L.,E.,E. pilulifera,E. pilulifera L.,E. pilulifera L.,E. pilulifera L.,1753
727863,329367-1,Erica pinea,Erica pinea Thunb.,Ericaceae,Species,2794131,329367-1,Species,Accepted,Ericaceae,,Erica,,pinea,,,,Thunb.,,Erica,: 23,(1785),Erica pinea,Thunb.,2794131,,,,2792525,329367-1,,N,Erica pinea,Erica pinea Thunb.,329367-1,2794131,Erica pinea Thunb.,Erica pinea Thunb.,Erica pinea Thunb.,E.,E. pinea,E. pinea Thunb.,E. pinea Thunb.,E. pinea Thunb.,1785
725309,329375-1,Erica planifolia,Erica planifolia L.,Ericaceae,Species,2794144,329375-1,Species,Accepted,Ericaceae,,Erica,,planifolia,,,,L.,,"Sp. Pl., ed. 2.",: 508,(1762),Erica planifolia,L.,2794144,,,,2792525,329375-1,,N,Erica planifolia,Erica planifolia L.,329375-1,2794144,Erica planifolia L.,Erica planifolia L.,Erica planifolia L.,E.,E. planifolia,E. planifolia L.,E. planifolia L.,E. planifolia L.,1762
726637,329379-1,Erica plukenetii,Erica plukenetii L.,Ericaceae,Species,2794154,329379-1,Species,Accepted,Ericaceae,,Erica,,plukenetii,,,,L.,,Sp. Pl.,: 356,(1753),Erica plukenetii,L.,2794154,,,,2792525,329379-1,,N,Erica plukenetii,Erica plukenetii L.,329379-1,2794154,Erica plukenetii L.,Erica plukenetii L.,Erica plukenetii L.,E.,E. plukenetii,E. plukenetii L.,E. plukenetii L.,E. plukenetii L.,1753
721290,329385-1,Erica plumosa,Erica plumosa Thunb.,Ericaceae,Species,2794163,329385-1,Species,Accepted,Ericaceae,,Erica,,plumosa,,,,Thunb.,,Prodr. Pl. Cap.,: 73,(1794),Erica plumosa,Thunb.,2794163,,,,2792525,329385-1,,N,Erica plumosa,Erica plumosa Thunb.,329385-1,2794163,Erica plumosa Thunb.,Erica plumosa Thunb.,Erica plumosa Thunb.,E.,E. plumosa,E. plumosa Thunb.,E. plumosa Thunb.,E. plumosa Thunb.,1794
725318,329425-1,Erica pubescens,Erica pubescens L.,Ericaceae,Species,2794210,329425-1,Species,Accepted,Ericaceae,,Erica,,pubescens,,,,L.,,"Sp. Pl., ed. 2.",: 506,(1762),Erica pubescens,L.,2794210,,,,2792525,329425-1,,N,Erica pubescens,Erica pubescens L.,329425-1,2794210,Erica pubescens L.,Erica pubescens L.,Erica pubescens L.,E.,E. pubescens,E. pubescens L.,E. pubescens L.,E. pubescens L.,1762
724564,329435-1,Erica pulchella,Erica pulchella Houtt.,Ericaceae,Species,2794221,329435-1,Species,Accepted,Ericaceae,,Erica,,pulchella,,,,Houtt.,,Nat. Hist., 2(4): 504,(1775),Erica pulchella,Houtt.,2794221,,,,2792525,329435-1,,N,Erica pulchella,Erica pulchella Houtt.,329435-1,2794221,Erica pulchella Houtt.,Erica pulchella Houtt.,Erica pulchella Houtt.,E.,E. pulchella,E. pulchella Houtt.,E. pulchella Houtt.,E. pulchella Houtt.,1775
721778,329458-1,Erica pyramidalis,Erica pyramidalis Aiton,Ericaceae,Species,2794246,329458-1,Species,Accepted,Ericaceae,,Erica,,pyramidalis,,,,Aiton,,Hort. Kew., 3: 491,(1789),Erica pyramidalis,Aiton,2794246,,,,2792525,329458-1,,N,Erica pyramidalis,Erica pyramidalis Aiton,329458-1,2794246,Erica pyramidalis Aiton,Erica pyramidalis Aiton,Erica pyramidalis Aiton,E.,E. pyramidalis,E. pyramidalis Aiton,E. pyramidalis Aiton,E. pyramidalis Aiton,1789
723752,329466-1,Erica quadrangularis,Erica quadrangularis Salisb.,Ericaceae,Species,2794253,329466-1,Species,Accepted,Ericaceae,,Erica,,quadrangularis,,,,Salisb.,,Prodr. Stirp. Chap. Allerton,: 297,(1796),Erica quadrangularis,Salisb.,2794253,,,,2792525,329466-1,,N,Erica quadrangularis,Erica quadrangularis Salisb.,329466-1,2794253,Erica quadrangularis Salisb.,Erica quadrangularis Salisb.,Erica quadrangularis Salisb.,E.,E. quadrangularis,E. quadrangularis Salisb.,E. quadrangularis Salisb.,E. quadrangularis Salisb.,1796
720648,329493-1,Erica regerminans,Erica regerminans L.,Ericaceae,Species,2794288,329493-1,Species,Accepted,Ericaceae,,Erica,,regerminans,,,,L.,,Mant. Pl., 2: 232,(1771),Erica regerminans,L.,2794288,,,,2792525,329493-1,,N,Erica regerminans,Erica regerminans L.,329493-1,2794288,Erica regerminans L.,Erica regerminans L.,Erica regerminans L.,E.,E. regerminans,E. regerminans L.,E. regerminans L.,E. regerminans L.,1771
727541,329529-1,Erica rubens,Erica rubens Thunb.,Ericaceae,Species,2794336,329529-1,Species,Accepted,Ericaceae,,Erica,,rubens,,,,Thunb.,,Erica,: 49,(1785),Erica rubens,Thunb.,2794336,,,,2792525,329529-1,,N,Erica rubens,Erica rubens Thunb.,329529-1,2794336,Erica rubens Thunb.,Erica rubens Thunb.,Erica rubens Thunb.,E.,E. rubens,E. rubens Thunb.,E. rubens Thunb.,E. rubens Thunb.,1785
725748,329569-1,Erica scabriuscula,Erica scabriuscula Link,Ericaceae,Species,2794383,329569-1,Species,Accepted,Ericaceae,,Erica,,scabriuscula,,,,Link,,Enum. Hort. Berol. Alt., 1: 372,(1821),Erica scabriuscula,Link,2794383,,,,2792525,329569-1,,N,Erica scabriuscula,Erica scabriuscula Link,329569-1,2794383,Erica scabriuscula Link,Erica scabriuscula Link,Erica scabriuscula Link,E.,E. scabriuscula,E. scabriuscula Link,E. scabriuscula Link,E. scabriuscula Link,1821
725851,329595-1,Erica sessiliflora,Erica sessiliflora L.f.,Ericaceae,Species,2794418,329595-1,Species,Accepted,Ericaceae,,Erica,,sessiliflora,,,,L.f.,,Suppl. Pl.,: 222,(1782),Erica sessiliflora,L.f.,2794418,,,,2792525,329595-1,,N,Erica sessiliflora,Erica sessiliflora L.f.,329595-1,2794418,Erica sessiliflora L.f.,Erica sessiliflora L.f.,Erica sessiliflora L.f.,E.,E. sessiliflora,E. sessiliflora L.f.,E. sessiliflora L.f.,E. sessiliflora L.f.,1782
722301,329598-1,Erica setacea,Erica setacea Andrews,Ericaceae,Species,2794424,329598-1,Species,Accepted,Ericaceae,,Erica,,setacea,,,,Andrews,,Col. Engr. Heaths, 1: 59,(1802),Erica setacea,Andrews,2794424,,,,2792525,329598-1,,N,Erica setacea,Erica setacea Andrews,329598-1,2794424,Erica setacea Andrews,Erica setacea Andrews,Erica setacea Andrews,E.,E. setacea,E. setacea Andrews,E. setacea Andrews,E. setacea Andrews,1802
