,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,publication_year,taxon_names_with_authors,taxon_names_with_paranthet_authors,taxon_names_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author
755089,501997-1,Lathyrus sericeus,Lathyrus sericeus Lam.,Fabaceae,Species,2351447,501997-1,Species,Accepted,Fabaceae,,Lathyrus,,sericeus,,,,Lam.,,Encycl., 2: 709,(1788),Lathyrus sericeus,Lam.,2351447,,,,2352057,501997-1,,Y,Lathyrus sericeus,Lathyrus sericeus Lam.,501997-1,2351447,1788,Lathyrus sericeus Lam.,Lathyrus sericeus Lam.,Lathyrus sericeus Lam.,L.,L. sericeus,L. sericeus Lam.,L. sericeus Lam.,L. sericeus Lam.
751275,502002-1,Lathyrus setifolius,Lathyrus setifolius L.,Fabaceae,Species,2351460,502002-1,Species,Accepted,Fabaceae,,Lathyrus,,setifolius,,,,L.,,Sp. Pl.,: 731,(1753),Lathyrus setifolius,L.,2351460,,,,2352057,502002-1,,Y,Lathyrus setifolius,Lathyrus setifolius L.,502002-1,2351460,1753,Lathyrus setifolius L.,Lathyrus setifolius L.,Lathyrus setifolius L.,L.,L. setifolius,L. setifolius L.,L. setifolius L.,L. setifolius L.
758987,502014-1,Lathyrus sphaericus,Lathyrus sphaericus Retz.,Fabaceae,Species,2351119,502014-1,Species,Accepted,Fabaceae,,Lathyrus,,sphaericus,,,,Retz.,,Observ. Bot., 3: 39,(1783),Lathyrus sphaericus,Retz.,2351119,,,,2352057,502014-1,,Y,Lathyrus sphaericus,Lathyrus sphaericus Retz.,502014-1,2351119,1783,Lathyrus sphaericus Retz.,Lathyrus sphaericus Retz.,Lathyrus sphaericus Retz.,L.,L. sphaericus,L. sphaericus Retz.,L. sphaericus Retz.,L. sphaericus Retz.
755799,502022-1,Lathyrus stenophyllus,Lathyrus stenophyllus Boiss. & Heldr.,Fabaceae,Species,2351094,502022-1,Species,Accepted,Fabaceae,,Lathyrus,,stenophyllus,,,,Boiss. & Heldr.,P.E.Boissier,Diagn. Pl. Orient., 9: 126,(1849),Lathyrus stenophyllus,Boiss. & Heldr.,2351094,,,,2352057,502022-1,,Y,Lathyrus stenophyllus,Lathyrus stenophyllus Boiss. & Heldr.,502022-1,2351094,1849,Lathyrus stenophyllus Boiss. & Heldr.,Lathyrus stenophyllus Boiss. & Heldr.,Lathyrus stenophyllus Boiss. & Heldr.,L.,L. stenophyllus,L. stenophyllus Boiss. & Heldr.,L. stenophyllus Boiss. & Heldr.,L. stenophyllus Boiss. & Heldr.
759771,502081-1,Lathyrus venosus,Lathyrus venosus Muhl. ex Willd.,Fabaceae,Species,2351031,502081-1,Species,Accepted,Fabaceae,,Lathyrus,,venosus,,,,Muhl. ex Willd.,,"Sp. Pl., ed. 4.", 3: 1092,(1802),Lathyrus venosus,Muhl. ex Willd.,2351031,,,,2352057,502081-1,,Y,Lathyrus venosus,Lathyrus venosus Muhl. ex Willd.,502081-1,2351031,1802,Lathyrus venosus Muhl. ex Willd.,Lathyrus venosus Muhl. ex Willd.,Lathyrus venosus Muhl. ex Willd.,L.,L. venosus,L. venosus Muhl. ex Willd.,L. venosus Muhl. ex Willd.,L. venosus Muhl. ex Willd.
346596,77181583-1,Launaea pumila,Launaea pumila (Cav.) Kuntze,Asteraceae,Species,3063028,77181583-1,Species,Accepted,Asteraceae,,Launaea,,pumila,,,Cav.,Kuntze,,Revis. Gen. Pl., 1: 351,(1891),Launaea pumila,(Cav.) Kuntze,3063028,3063024,,,3134317,77181583-1,,N,Launaea pumila,Launaea pumila (Cav.) Kuntze,77181583-1,3063028,1891,Launaea pumila (Cav.) Kuntze,Launaea pumila Cav. Kuntze,Launaea pumila Kuntze,L.,L. pumila,L. pumila (Cav.) Kuntze,L. pumila Cav. Kuntze,L. pumila Kuntze
671794,449008-1,Lavandula angustifolia,Lavandula angustifolia Mill.,Lamiaceae,Species,108971,449008-1,Species,Accepted,Lamiaceae,,Lavandula,,angustifolia,,,,Mill.,,"Gard. Dict., ed. 8.",: n.° 2,(1768),Lavandula angustifolia,Mill.,108971,,,,108966,449008-1,,Y,Lavandula angustifolia,Lavandula angustifolia Mill.,449008-1,108971,1768,Lavandula angustifolia Mill.,Lavandula angustifolia Mill.,Lavandula angustifolia Mill.,L.,L. angustifolia,L. angustifolia Mill.,L. angustifolia Mill.,L. angustifolia Mill.
667478,449064-1,Lavandula multifida,Lavandula multifida L.,Lamiaceae,Species,109049,449064-1,Species,Accepted,Lamiaceae,,Lavandula,,multifida,,,,L.,,Sp. Pl.,: 572,(1753),Lavandula multifida,L.,109049,,,,108966,449064-1,,Y,Lavandula multifida,Lavandula multifida L.,449064-1,109049,1753,Lavandula multifida L.,Lavandula multifida L.,Lavandula multifida L.,L.,L. multifida,L. multifida L.,L. multifida L.,L. multifida L.
672214,449073-1,Lavandula pinnata,Lavandula pinnata Lundmark,Lamiaceae,Species,109066,449073-1,Species,Accepted,Lamiaceae,,Lavandula,,pinnata,,,,Lundmark,,Lavandula,: 55,(1780),Lavandula pinnata,Lundmark,109066,,,,108966,449073-1,,Y,Lavandula pinnata,Lavandula pinnata Lundmark,449073-1,109066,1780,Lavandula pinnata Lundmark,Lavandula pinnata Lundmark,Lavandula pinnata Lundmark,L.,L. pinnata,L. pinnata Lundmark,L. pinnata Lundmark,L. pinnata Lundmark
373160,502123-1,Lebeckia contaminata,Lebeckia contaminata (L.) Thunb.,Fabaceae,Species,2351240,502123-1,Species,Accepted,Fabaceae,,Lebeckia,,contaminata,,,L.,Thunb.,,Nov. Gen. Pl., 10: 140,(1800),Lebeckia contaminata,(L.) Thunb.,2351240,2597750,,,2351063,502123-1,,Y,Lebeckia contaminata,Lebeckia contaminata (L.) Thunb.,502123-1,2351240,1800,Lebeckia contaminata (L.) Thunb.,Lebeckia contaminata L. Thunb.,Lebeckia contaminata Thunb.,L.,L. contaminata,L. contaminata (L.) Thunb.,L. contaminata L. Thunb.,L. contaminata Thunb.
1092697,327652-2,Lechea racemulosa,Lechea racemulosa Michx.,Cistaceae,Species,2339181,327652-2,Species,Accepted,Cistaceae,,Lechea,,racemulosa,,,,Michx.,,Fl. Bor.-Amer., 1: 77,(1803),Lechea racemulosa,Michx.,2339181,,,,2339144,327652-2,,N,Lechea racemulosa,Lechea racemulosa Michx.,327652-2,2339181,1803,Lechea racemulosa Michx.,Lechea racemulosa Michx.,Lechea racemulosa Michx.,L.,L. racemulosa,L. racemulosa Michx.,L. racemulosa Michx.,L. racemulosa Michx.
620970,597269-1,Lecythis idatimon,Lecythis idatimon Aubl.,Lecythidaceae,Species,312978,597269-1,Species,Accepted,Lecythidaceae,,Lecythis,,idatimon,,,,Aubl.,,Hist. Pl. Guiane, 2: 721,(1775),Lecythis idatimon,Aubl.,312978,,,,313045,597269-1,,Y,Lecythis idatimon,Lecythis idatimon Aubl.,597269-1,312978,1775,Lecythis idatimon Aubl.,Lecythis idatimon Aubl.,Lecythis idatimon Aubl.,L.,L. idatimon,L. idatimon Aubl.,L. idatimon Aubl.,L. idatimon Aubl.
612788,597290-1,Lecythis minor,Lecythis minor Jacq.,Lecythidaceae,Species,313020,597290-1,Species,Accepted,Lecythidaceae,,Lecythis,,minor,,,,Jacq.,,Select. Stirp. Amer. Hist.,: 168,(1763),Lecythis minor,Jacq.,313020,,,,313045,597290-1,,Y,Lecythis minor,Lecythis minor Jacq.,597290-1,313020,1763,Lecythis minor Jacq.,Lecythis minor Jacq.,Lecythis minor Jacq.,L.,L. minor,L. minor Jacq.,L. minor Jacq.,L. minor Jacq.
621928,597300-1,Lecythis ollaria,Lecythis ollaria L.,Lecythidaceae,Species,313016,597300-1,Species,Accepted,Lecythidaceae,,Lecythis,,ollaria,,,,L.,,"Syst. Nat., ed. 10.", 2: 1071,(1759),Lecythis ollaria,L.,313016,,,,313045,597300-1,,Y,Lecythis ollaria,Lecythis ollaria L.,597300-1,313016,1759,Lecythis ollaria L.,Lecythis ollaria L.,Lecythis ollaria L.,L.,L. ollaria,L. ollaria L.,L. ollaria L.,L. ollaria L.
273448,229240-1,Leontodon asperrimus,Leontodon asperrimus (Willd.) Endl.,Asteraceae,Species,3074972,229240-1,Species,Accepted,Asteraceae,,Leontodon,,asperrimus,,,Willd.,Endl.,,Cat. Hort. Vindob., 1: 415,(1842),Leontodon asperrimus,(Willd.) Endl.,3074972,3074969,,,3134281,229240-1,,N,Leontodon asperrimus,Leontodon asperrimus (Willd.) Endl.,229240-1,3074972,1842,Leontodon asperrimus (Willd.) Endl.,Leontodon asperrimus Willd. Endl.,Leontodon asperrimus Endl.,L.,L. asperrimus,L. asperrimus (Willd.) Endl.,L. asperrimus Willd. Endl.,L. asperrimus Endl.
453723,229253-1,Leontodon biscutellifolius,Leontodon biscutellifolius DC.,Asteraceae,Species,3075015,229253-1,Species,Accepted,Asteraceae,,Leontodon,,biscutellifolius,,,,DC.,,Prodr., 7: 103,(1838),Leontodon biscutellifolius,DC.,3075015,,,,3134281,229253-1,,N,Leontodon biscutellifolius,Leontodon biscutellifolius DC.,229253-1,3075015,1838,Leontodon biscutellifolius DC.,Leontodon biscutellifolius DC.,Leontodon biscutellifolius DC.,L.,L. biscutellifolius,L. biscutellifolius DC.,L. biscutellifolius DC.,L. biscutellifolius DC.
224382,77181734-1,Leontodon dubius,Leontodon dubius (Hoppe) Poir.,Asteraceae,Species,3075042,77181734-1,Species,Accepted,Asteraceae,,Leontodon,,dubius,,,Hoppe,Poir.,J.B.A.M.de Lamarck,Encycl.,", Suppl. 3: 452",(1814),Leontodon dubius,(Hoppe) Poir.,3075042,3233871,,,3134281,77181734-1,,N,Leontodon dubius,Leontodon dubius (Hoppe) Poir.,77181734-1,3075042,1814,Leontodon dubius (Hoppe) Poir.,Leontodon dubius Hoppe Poir.,Leontodon dubius Poir.,L.,L. dubius,L. dubius (Hoppe) Poir.,L. dubius Hoppe Poir.,L. dubius Poir.
451490,229351-1,Leontodon hirtus,Leontodon hirtus L.,Asteraceae,Species,3075057,229351-1,Species,Accepted,Asteraceae,,Leontodon,,hirtus,,,,L.,,"Syst. Nat., ed. 10.", 2: 1194,(1759),Leontodon hirtus,L.,3075057,,,,3134281,229351-1,,N,Leontodon hirtus,Leontodon hirtus L.,229351-1,3075057,1759,Leontodon hirtus L.,Leontodon hirtus L.,Leontodon hirtus L.,L.,L. hirtus,L. hirtus L.,L. hirtus L.,L. hirtus L.
452572,229358-1,Leontodon hispidus,Leontodon hispidus L.,Asteraceae,Species,3075058,229358-1,Species,Accepted,Asteraceae,,Leontodon,,hispidus,,,,L.,,Sp. Pl.,: 799,(1753),Leontodon hispidus,L.,3075058,,,,3134281,229358-1,,N,Leontodon hispidus,Leontodon hispidus L.,229358-1,3075058,1753,Leontodon hispidus L.,Leontodon hispidus L.,Leontodon hispidus L.,L.,L. hispidus,L. hispidus L.,L. hispidus L.,L. hispidus L.
456868,229365-1,Leontodon hyoseroides,Leontodon hyoseroides Welw. ex Rchb.,Asteraceae,Species,3075115,229365-1,Species,Accepted,Asteraceae,,Leontodon,,hyoseroides,,,,Welw. ex Rchb.,,Fl. Germ. Excurs., 2: 863,(1832),Leontodon hyoseroides,Welw. ex Rchb.,3075115,,,,3134281,229365-1,,N,Leontodon hyoseroides,Leontodon hyoseroides Welw. ex Rchb.,229365-1,3075115,1832,Leontodon hyoseroides Welw. ex Rchb.,Leontodon hyoseroides Welw. ex Rchb.,Leontodon hyoseroides Welw. ex Rchb.,L.,L. hyoseroides,L. hyoseroides Welw. ex Rchb.,L. hyoseroides Welw. ex Rchb.,L. hyoseroides Welw. ex Rchb.
624467,229576-1,Leontopodium caespitosum,Leontopodium caespitosum Diels,Asteraceae,Species,3090422,229576-1,Species,Accepted,Asteraceae,,Leontopodium,,caespitosum,,,,Diels,,Notes Roy. Bot. Gard. Edinburgh, 5: 189,(1912),Leontopodium caespitosum,Diels,3090422,,,,3134108,229576-1,,N,Leontopodium caespitosum,Leontopodium caespitosum Diels,229576-1,3090422,1912,Leontopodium caespitosum Diels,Leontopodium caespitosum Diels,Leontopodium caespitosum Diels,L.,L. caespitosum,L. caespitosum Diels,L. caespitosum Diels,L. caespitosum Diels
522633,449195-1,Leonurus japonicus,Leonurus japonicus Houtt.,Lamiaceae,Species,109541,449195-1,Species,Accepted,Lamiaceae,,Leonurus,,japonicus,,,,Houtt.,,Nat. Hist., 2(9): 366,(1778),Leonurus japonicus,Houtt.,109541,,,,109490,449195-1,,Y,Leonurus japonicus,Leonurus japonicus Houtt.,449195-1,109541,1778,Leonurus japonicus Houtt.,Leonurus japonicus Houtt.,Leonurus japonicus Houtt.,L.,L. japonicus,L. japonicus Houtt.,L. japonicus Houtt.,L. japonicus Houtt.
531722,449232-1,Leonurus sibiricus,Leonurus sibiricus L.,Lamiaceae,Species,109583,449232-1,Species,Accepted,Lamiaceae,,Leonurus,,sibiricus,,,,L.,,Sp. Pl.,: 584,(1753),Leonurus sibiricus,L.,109583,,,,109490,449232-1,,Y,Leonurus sibiricus,Leonurus sibiricus L.,449232-1,109583,1753,Leonurus sibiricus L.,Leonurus sibiricus L.,Leonurus sibiricus L.,L.,L. sibiricus,L. sibiricus L.,L. sibiricus L.,L. sibiricus L.
710876,137451-2,Lepanthes caudatisepala,Lepanthes caudatisepala C.Schweinf.,Orchidaceae,Species,109768,137451-2,Species,Accepted,Orchidaceae,,Lepanthes,,caudatisepala,,,,C.Schweinf.,,Bot. Mus. Leafl., 10: 123,(1942),Lepanthes caudatisepala,C.Schweinf.,109768,,,,109610,137451-2,,Y,Lepanthes caudatisepala,Lepanthes caudatisepala C.Schweinf.,137451-2,109768,1942,Lepanthes caudatisepala C.Schweinf.,Lepanthes caudatisepala C.Schweinf.,Lepanthes caudatisepala C.Schweinf.,L.,L. caudatisepala,L. caudatisepala C.Schweinf.,L. caudatisepala C.Schweinf.,L. caudatisepala C.Schweinf.
716651,314650-2,Lepanthes scopulifera,Lepanthes scopulifera Luer & R.Escobar,Orchidaceae,Species,110513,314650-2,Species,Accepted,Orchidaceae,,Lepanthes,,scopulifera,,,,Luer & R.Escobar,,Orquideologia, 20: 310,(1997),Lepanthes scopulifera,Luer & R.Escobar,110513,,,,109610,314650-2,,Y,Lepanthes scopulifera,Lepanthes scopulifera Luer & R.Escobar,314650-2,110513,1997,Lepanthes scopulifera Luer & R.Escobar,Lepanthes scopulifera Luer & R.Escobar,Lepanthes scopulifera Luer & R.Escobar,L.,L. scopulifera,L. scopulifera Luer & R.Escobar,L. scopulifera Luer & R.Escobar,L. scopulifera Luer & R.Escobar
598880,51989-1,Lepidagathis diffusa,Lepidagathis diffusa C.B.Clarke,Acanthaceae,Species,2342073,51989-1,Species,Accepted,Acanthaceae,,Lepidagathis,,diffusa,,,,C.B.Clarke,J.D.Hooker,Fl. Brit. India, 4: 518,(1885),Lepidagathis diffusa,C.B.Clarke,2342073,,,,2342031,51989-1,,N,Lepidagathis diffusa,Lepidagathis diffusa C.B.Clarke,51989-1,2342073,1885,Lepidagathis diffusa C.B.Clarke,Lepidagathis diffusa C.B.Clarke,Lepidagathis diffusa C.B.Clarke,L.,L. diffusa,L. diffusa C.B.Clarke,L. diffusa C.B.Clarke,L. diffusa C.B.Clarke
599247,52067-1,Lepidagathis parviflora,Lepidagathis parviflora Blume,Acanthaceae,Species,2342149,52067-1,Species,Accepted,Acanthaceae,,Lepidagathis,,parviflora,,,,Blume,,Bijdr. Fl. Ned. Ind.,: 801,(1826),Lepidagathis parviflora,Blume,2342149,,,,2342031,52067-1,,N,Lepidagathis parviflora,Lepidagathis parviflora Blume,52067-1,2342149,1826,Lepidagathis parviflora Blume,Lepidagathis parviflora Blume,Lepidagathis parviflora Blume,L.,L. parviflora,L. parviflora Blume,L. parviflora Blume,L. parviflora Blume
597108,52111-1,Lepidagathis stenophylla,Lepidagathis stenophylla C.B.Clarke ex Hayata,Acanthaceae,Species,2341853,52111-1,Species,Accepted,Acanthaceae,,Lepidagathis,,stenophylla,,,,C.B.Clarke ex Hayata,,J. Coll. Sci. Imp. Univ. Tokyo, 30(1): 214,(1911),Lepidagathis stenophylla,C.B.Clarke ex Hayata,2341853,,,,2342031,52111-1,,N,Lepidagathis stenophylla,Lepidagathis stenophylla C.B.Clarke ex Hayata,52111-1,2341853,1911,Lepidagathis stenophylla C.B.Clarke ex Hayata,Lepidagathis stenophylla C.B.Clarke ex Hayata,Lepidagathis stenophylla C.B.Clarke ex Hayata,L.,L. stenophylla,L. stenophylla C.B.Clarke ex Hayata,L. stenophylla C.B.Clarke ex Hayata,L. stenophylla C.B.Clarke ex Hayata
266463,137933-2,Lepidium acutidens,Lepidium acutidens (A.Gray) Howell,Brassicaceae,Species,2338246,137933-2,Species,Accepted,Brassicaceae,,Lepidium,,acutidens,,,A.Gray,Howell,,Fl. N.W. Amer.,: 64,(1897),Lepidium acutidens,(A.Gray) Howell,2338246,2356112,,,2338293,137933-2,,N,Lepidium acutidens,Lepidium acutidens (A.Gray) Howell,137933-2,2338246,1897,Lepidium acutidens (A.Gray) Howell,Lepidium acutidens A.Gray Howell,Lepidium acutidens Howell,L.,L. acutidens,L. acutidens (A.Gray) Howell,L. acutidens A.Gray Howell,L. acutidens Howell
734422,286020-1,Lepidium affine,Lepidium affine Ledeb.,Brassicaceae,Species,2338200,286020-1,Species,Accepted,Brassicaceae,,Lepidium,,affine,,,,Ledeb.,,"Index Seminum (TU, Dorpatensis)", 1821: 22,(1821),Lepidium affine,Ledeb.,2338200,,,,2338293,286020-1,,N,Lepidium affine,Lepidium affine Ledeb.,286020-1,2338200,1821,Lepidium affine Ledeb.,Lepidium affine Ledeb.,Lepidium affine Ledeb.,L.,L. affine,L. affine Ledeb.,L. affine Ledeb.,L. affine Ledeb.
733382,286068-1,Lepidium bonariense,Lepidium bonariense L.,Brassicaceae,Species,2338282,286068-1,Species,Accepted,Brassicaceae,,Lepidium,,bonariense,,,,L.,,Sp. Pl.,: 645,(1753),Lepidium bonariense,L.,2338282,,,,2338293,286068-1,,N,Lepidium bonariense,Lepidium bonariense L.,286068-1,2338282,1753,Lepidium bonariense L.,Lepidium bonariense L.,Lepidium bonariense L.,L.,L. bonariense,L. bonariense L.,L. bonariense L.,L. bonariense L.
734757,286094-1,Lepidium capense,Lepidium capense Thunb.,Brassicaceae,Species,2337801,286094-1,Species,Accepted,Brassicaceae,,Lepidium,,capense,,,,Thunb.,,Prodr. Pl. Cap.,: 107,(1800),Lepidium capense,Thunb.,2337801,,,,2338293,286094-1,,N,Lepidium capense,Lepidium capense Thunb.,286094-1,2337801,1800,Lepidium capense Thunb.,Lepidium capense Thunb.,Lepidium capense Thunb.,L.,L. capense,L. capense Thunb.,L. capense Thunb.,L. capense Thunb.
733191,286143-1,Lepidium desertorum,Lepidium desertorum Eckl. & Zeyh.,Brassicaceae,Species,2337754,286143-1,Species,Accepted,Brassicaceae,,Lepidium,,desertorum,,,,Eckl. & Zeyh.,,Enum. Pl. Afric. Austral.,: 6,(1835),Lepidium desertorum,Eckl. & Zeyh.,2337754,,,,2338293,286143-1,,N,Lepidium desertorum,Lepidium desertorum Eckl. & Zeyh.,286143-1,2337754,1835,Lepidium desertorum Eckl. & Zeyh.,Lepidium desertorum Eckl. & Zeyh.,Lepidium desertorum Eckl. & Zeyh.,L.,L. desertorum,L. desertorum Eckl. & Zeyh.,L. desertorum Eckl. & Zeyh.,L. desertorum Eckl. & Zeyh.
102328,286210-1,Lepidium heterophyllum,Lepidium heterophyllum Benth.,Brassicaceae,Species,2337794,286210-1,Species,Accepted,Brassicaceae,,Lepidium,,heterophyllum,,,,Benth.,,Cat. Pl. Pyrénées,: 95,(1826),Lepidium heterophyllum,Benth.,2337794,2432101,DC.,,2338293,286210-1,,N,Lepidium heterophyllum,Lepidium heterophyllum Benth.,286210-1,2337794,1826,Lepidium heterophyllum Benth.,Lepidium heterophyllum Benth.,Lepidium heterophyllum Benth.,L.,L. heterophyllum,L. heterophyllum Benth.,L. heterophyllum Benth.,L. heterophyllum Benth.
737363,138121-2,Lepidium pubescens,Lepidium pubescens Desv.,Brassicaceae,Species,2338641,138121-2,Species,Accepted,Brassicaceae,,Lepidium,,pubescens,,,,Desv.,,J. Bot. Agric., 3: 165,(1815),Lepidium pubescens,Desv.,2338641,,,,2338293,138121-2,,N,Lepidium pubescens,Lepidium pubescens Desv.,138121-2,2338641,1815,Lepidium pubescens Desv.,Lepidium pubescens Desv.,Lepidium pubescens Desv.,L.,L. pubescens,L. pubescens Desv.,L. pubescens Desv.,L. pubescens Desv.
733100,309915-2,Lepidium reichei,Lepidium reichei Phil. ex Reiche,Brassicaceae,Species,2356211,309915-2,Species,Accepted,Brassicaceae,,Lepidium,,reichei,,,,Phil. ex Reiche,,Anales Univ. Chile, 90: 94,(1895),Lepidium reichei,Phil. ex Reiche,2356211,,,,2338293,309915-2,,N,Lepidium reichei,Lepidium reichei Phil. ex Reiche,309915-2,2356211,1895,Lepidium reichei Phil. ex Reiche,Lepidium reichei Phil. ex Reiche,Lepidium reichei Phil. ex Reiche,L.,L. reichei,L. reichei Phil. ex Reiche,L. reichei Phil. ex Reiche,L. reichei Phil. ex Reiche
733383,30265500-2,Lepidium ruderale,Lepidium ruderale L.,Brassicaceae,Species,2338636,30265500-2,Species,Accepted,Brassicaceae,,Lepidium,,ruderale,,,,L.,,Sp. Pl.,: 645,(1753),Lepidium ruderale,L.,2338636,,,,2338293,30265500-2,,N,Lepidium ruderale,Lepidium ruderale L.,30265500-2,2338636,1753,Lepidium ruderale L.,Lepidium ruderale L.,Lepidium ruderale L.,L.,L. ruderale,L. ruderale L.,L. ruderale L.,L. ruderale L.
730085,286416-1,Lepidium spathulatum,Lepidium spathulatum Phil.,Brassicaceae,Species,2338557,286416-1,Species,Accepted,Brassicaceae,,Lepidium,,spathulatum,,,,Phil.,,Fl. Atacam.,: 8,(1860),Lepidium spathulatum,Phil.,2338557,,,,2338293,286416-1,,N,Lepidium spathulatum,Lepidium spathulatum Phil.,286416-1,2338557,1860,Lepidium spathulatum Phil.,Lepidium spathulatum Phil.,Lepidium spathulatum Phil.,L.,L. spathulatum,L. spathulatum Phil.,L. spathulatum Phil.,L. spathulatum Phil.
737053,324678-2,Lepidium subulatum,Lepidium subulatum L.,Brassicaceae,Species,2338563,324678-2,Species,Accepted,Brassicaceae,,Lepidium,,subulatum,,,,L.,,Sp. Pl.,: 644,(1753),Lepidium subulatum,L.,2338563,,,,2338293,324678-2,,N,Lepidium subulatum,Lepidium subulatum L.,324678-2,2338563,1753,Lepidium subulatum L.,Lepidium subulatum L.,Lepidium subulatum L.,L.,L. subulatum,L. subulatum L.,L. subulatum L.,L. subulatum L.
417729,310109-1,Lepidosperma concavum,Lepidosperma concavum R.Br.,Cyperaceae,Species,252147,310109-1,Species,Accepted,Cyperaceae,,Lepidosperma,,concavum,,,,R.Br.,,Prodr. Fl. Nov. Holland.,: 234,(1810),Lepidosperma concavum,R.Br.,252147,,,,252130,310109-1,,Y,Lepidosperma concavum,Lepidosperma concavum R.Br.,310109-1,252147,1810,Lepidosperma concavum R.Br.,Lepidosperma concavum R.Br.,Lepidosperma concavum R.Br.,L.,L. concavum,L. concavum R.Br.,L. concavum R.Br.,L. concavum R.Br.
413027,310166-1,Lepidosperma sieberi,Lepidosperma sieberi Kunth,Cyperaceae,Species,252206,310166-1,Species,Accepted,Cyperaceae,,Lepidosperma,,sieberi,,,,Kunth,,Enum. Pl., 2: 320,(1837),Lepidosperma sieberi,Kunth,252206,,,,252130,310166-1,,Y,Lepidosperma sieberi,Lepidosperma sieberi Kunth,310166-1,252206,1837,Lepidosperma sieberi Kunth,Lepidosperma sieberi Kunth,Lepidosperma sieberi Kunth,L.,L. sieberi,L. sieberi Kunth,L. sieberi Kunth,L. sieberi Kunth
40614,17402220-1,Lepisorus longifolius,Lepisorus longifolius (Blume) Holttum,Polypodiaceae,Species,3153738,17402220-1,Species,Accepted,Polypodiaceae,,Lepisorus,,longifolius,,,Blume,Holttum,,Rev. Fl. Malaya, 2: 151,(1955),Lepisorus longifolius,(Blume) Holttum,3153738,3185205,,,3189687,17402220-1,,N,Lepisorus longifolius,Lepisorus longifolius (Blume) Holttum,17402220-1,3153738,1955,Lepisorus longifolius (Blume) Holttum,Lepisorus longifolius Blume Holttum,Lepisorus longifolius Holttum,L.,L. longifolius,L. longifolius (Blume) Holttum,L. longifolius Blume Holttum,L. longifolius Holttum
597224,17132700-1,Leptochilus lanceolatus,Leptochilus lanceolatus Fée,Polypodiaceae,Species,3153803,17132700-1,Species,Accepted,Polypodiaceae,,Leptochilus,,lanceolatus,,,,Fée,,"Mém. Foug., 2. Hist. Acrostich.",: 87,(1845),Leptochilus lanceolatus,Fée,3153803,,,,3189715,17132700-1,,N,Leptochilus lanceolatus,Leptochilus lanceolatus Fée,17132700-1,3153803,1845,Leptochilus lanceolatus Fée,Leptochilus lanceolatus Fée,Leptochilus lanceolatus Fée,L.,L. lanceolatus,L. lanceolatus Fée,L. lanceolatus Fée,L. lanceolatus Fée
196724,502407-1,Lespedeza angustifolia,Lespedeza angustifolia (Pursh) Elliott,Fabaceae,Species,2345951,502407-1,Species,Accepted,Fabaceae,,Lespedeza,,angustifolia,,,Pursh,Elliott,,Sketch Bot. S. Carolina, 2: 206,(1822),Lespedeza angustifolia,(Pursh) Elliott,2345951,2355972,,,2345922,502407-1,,Y,Lespedeza angustifolia,Lespedeza angustifolia (Pursh) Elliott,502407-1,2345951,1822,Lespedeza angustifolia (Pursh) Elliott,Lespedeza angustifolia Pursh Elliott,Lespedeza angustifolia Elliott,L.,L. angustifolia,L. angustifolia (Pursh) Elliott,L. angustifolia Pursh Elliott,L. angustifolia Elliott
163541,502610-1,Lespedeza virgata,Lespedeza virgata (Thunb.) DC.,Fabaceae,Species,2345690,502610-1,Species,Accepted,Fabaceae,,Lespedeza,,virgata,,,Thunb.,DC.,,Prodr., 2: 350,(1825),Lespedeza virgata,(Thunb.) DC.,2345690,2841834,,,2345922,502610-1,,Y,Lespedeza virgata,Lespedeza virgata (Thunb.) DC.,502610-1,2345690,1825,Lespedeza virgata (Thunb.) DC.,Lespedeza virgata Thunb. DC.,Lespedeza virgata DC.,L.,L. virgata,L. virgata (Thunb.) DC.,L. virgata Thunb. DC.,L. virgata DC.
746569,502634-1,Lessertia diffusa,Lessertia diffusa R.Br.,Fabaceae,Species,2345703,502634-1,Species,Accepted,Fabaceae,,Lessertia,,diffusa,,,,R.Br.,W.T.Aiton,Hortus Kew., 4: 327,(1812),Lessertia diffusa,R.Br.,2345703,,,,2345713,502634-1,,Y,Lessertia diffusa,Lessertia diffusa R.Br.,502634-1,2345703,1812,Lessertia diffusa R.Br.,Lessertia diffusa R.Br.,Lessertia diffusa R.Br.,L.,L. diffusa,L. diffusa R.Br.,L. diffusa R.Br.,L. diffusa R.Br.
